independent_unit_id,method,epsilon,tau,grid_role,arm,witness,score,claim_status,normalized_excess_aurc,relative_improvement_over_random,fixed_qc_nex_aurc,fixed_qc_gain,relative_fixed_qc_gain,negative_control_pass,leakage_control_pass,confound_direction_pass,confound_significance_pass,biological_pairs,technology
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.8904552522554177,0.10954474774458228,0.8439371301591798,-0.046518122096237874,-0.07184576148489386,0.75,1.0,0.25,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,0.8904552522554177,0.10954474774458228,0.8439371301591798,-0.046518122096237874,-0.07184576148489386,0.75,1.0,0.25,0.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,0.5011624116348076,0.4988375883651925,0.8439371301591798,0.3427747185243723,0.38337901316118966,1.0,1.0,1.0,1.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,matched_fd_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,0.9941164349361148,0.005883565063885293,0.8439371301591798,-0.15017930477693486,-0.21603264944249728,0.25,1.0,0.75,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,matched_fd_combined,post-review sensitivity analysis; manual cortical-layer extension,0.9941164349361148,0.005883565063885293,0.8439371301591798,-0.15017930477693486,-0.21603264944249728,0.25,1.0,0.75,0.25,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,heldout_loss,source_boundary_proximity,post-review sensitivity analysis; manual cortical-layer extension,0.8439371301591798,0.15606286984082016,0.8439371301591798,0.0,0.0,0.75,1.0,1.0,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,exact_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.236035045985074,-0.23603504598507397,1.1027806989593598,-0.13325434702571412,-0.12682157783666878,0.0,1.0,0.0,1.0,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,exact_I_SPATIAL,post-review sensitivity analysis; manual cortical-layer extension,1.1077512501020814,-0.10775125010208148,1.1027806989593598,-0.00497055114272163,-0.0005110133005230867,0.0,1.0,0.5,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,exact_combined,post-review sensitivity analysis; manual cortical-layer extension,1.1077512501020814,-0.10775125010208148,1.1027806989593598,-0.00497055114272163,-0.0005110133005230867,0.0,1.0,0.5,0.5,2,spatialLIBD_manual_layers
spatialLIBD_manual::Br5292,balanced_ot,0.25,,baseline,R,label_error_shared_closed_set,matched_fd_I_EXPR,post-review sensitivity analysis; manual cortical-layer extension,1.2379723242381266,-0.23797232423812664,1.1027806989593598,-0.1351916252787668,-0.12851495933017576,0.0,1.0,0.0,1.0,2,spatialLIBD_manual_layers
