method,epsilon,tau,grid_role,arm,intervention,score,claim_status,gate_family,independent_units,median_spearman,median_top_decile_overlap,median_nmae,unit_gate_pass_fraction,spearman_gate_pass,overlap_gate_pass,nmae_gate_pass,gate_pass,witness,median_nex_aurc,median_relative_fixed_qc_gain,positive_unit_fraction,positive_technology_count,leave_one_unit_out_fixed_qc_low,negative_control_pass_fraction,leakage_control_pass_fraction,confound_direction_pass_fraction,sensitivity_external_gate,sensitivity_external_gate_with_controls,registered_gate_status,confirmatory
uot,0.1,2.0,epsilon_scan,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.42940469484653104,0.016666666666666666,4.813310616602122,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8716798514132674,0.62,4.542435975272622,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.39962883627948287,0.4766666666666666,6.544148790991823,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.3025580038035573,0.09666666666666666,4.269411897953011,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.36653125712500323,0.023333333333333334,4.462623184203245,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9801021609342939,0.9233333333333333,0.30278970072202305,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.9801021609342939,0.9233333333333333,0.30278970072202305,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.43462673183410305,0.011666666666666667,4.858390427851528,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.1,5.0,interaction_corner,R,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,-0.43462673183410305,0.011666666666666667,4.858390427851528,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,N,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.8811754716335432,0.72,3.4768819295164617,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,N,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.718405572624699,0.7583333333333333,5.6534536449540065,0.0,True,True,False,False,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,N,I_SPATIAL,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6468423621521611,0.42833333333333334,2.0459799126230367,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,N,I_SPATIAL,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.6276592985152438,0.49,2.507682415277401,0.0,False,False,False,False,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,R,I_EXPR,matched_finite_difference,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.99568174741411,0.99,0.09748770616715044,1.0,True,True,True,True,,,,,,,,,,,,,
uot,0.25,1.0,tau_scan,R,I_EXPR,registered_finite_difference_fixed_score,post-review sensitivity analysis; manual cortical-layer extension,internal_fidelity,3,0.99568174741411,0.99,0.09748770616715044,1.0,True,True,True,True,,,,,,,,,,,,,
