method	strategy	coverage	metric	n_independent_units	median	q25	q75
row_softmax	random_gate	0.8	true_pair_cosine	8	0.8013289260327294	0.7823490505541255	0.834349012978945
row_softmax	top2_margin_gate	0.8	training_positive_precision	8	0.9559113805781997	0.895455205722985	0.9863148418335307
row_softmax	top2_margin_gate	0.8	top1	8	0.0026944059372091276	0.001407469342251951	0.0042690653336433385
row_softmax	top2_margin_gate	0.8	top5	8	0.021515076079741735	0.020162177913866267	0.02265545754330226
row_softmax	top2_margin_gate	0.8	top10	8	0.04293208970221775	0.040985755024175306	0.047700523756680956
row_softmax	top2_margin_gate	0.8	mean_reciprocal_rank	8	0.023623463705148326	0.02223319488947409	0.025621846278533672
row_softmax	top2_margin_gate	0.8	median_true_rank	8	140.14999999999998	113.36250000000001	182.3375
row_softmax	top2_margin_gate	0.8	region_label_accuracy	8	0.49678438620446175	0.27332288623690976	0.8215078578302013
row_softmax	top2_margin_gate	0.8	true_pair_cosine	8	0.8018909123760077	0.7819250319170127	0.8347840479931107
uot	all_top1	1.0	training_positive_precision	8	0.759724343377477	0.7344209116852776	0.8965611316711608
uot	all_top1	1.0	top1	8	0.004337639311043567	0.0037480237122813564	0.005134339933185673
uot	all_top1	1.0	top5	8	0.02449159075968779	0.02226474145269562	0.026234241477210374
uot	all_top1	1.0	top10	8	0.04988682914090346	0.04499811380866477	0.060254762057231584
uot	all_top1	1.0	mean_reciprocal_rank	8	0.02639317093499733	0.025261652451093918	0.02707293072951596
uot	all_top1	1.0	median_true_rank	8	136.77499999999998	113.66250000000001	176.0
uot	all_top1	1.0	region_label_accuracy	8	0.479506365868898	0.323782768150506	0.7816930430153864
uot	all_top1	1.0	true_pair_cosine	8	0.8018902692179352	0.7828015504334065	0.834506614839213
uot	identity_no_training	0.0	top1	8	0.9119950049156633	0.8412085618994555	0.9642938039134843
uot	identity_no_training	0.0	top5	8	0.9712413700199429	0.9292672509742794	0.9937421581560248
uot	identity_no_training	0.0	top10	8	0.9844276238085587	0.9548713548524617	0.9969072164948454
uot	identity_no_training	0.0	mean_reciprocal_rank	8	0.9382416032435094	0.880028365294842	0.9779724398041864
uot	identity_no_training	0.0	median_true_rank	8	1.0	1.0	1.2375
uot	identity_no_training	0.0	region_label_accuracy	8	0.9829262975391004	0.9656076014693377	0.9888283937458087
uot	identity_no_training	0.0	true_pair_cosine	8	0.41356613272778897	0.40523052838886275	0.41887142656992077
uot	max_probability_gate	0.8	training_positive_precision	8	0.7413156921345512	0.713874467131418	0.9056390167058561
uot	max_probability_gate	0.8	top1	8	0.0030767244057027373	0.0024391294979530273	0.004107999582811848
uot	max_probability_gate	0.8	top5	8	0.020239372328913683	0.018911569140673067	0.023530103069217247
uot	max_probability_gate	0.8	top10	8	0.042137535616968945	0.03904502042766922	0.04907072134975378
uot	max_probability_gate	0.8	mean_reciprocal_rank	8	0.023730650271046268	0.02247760164061449	0.025523266207847194
uot	max_probability_gate	0.8	median_true_rank	8	141.05	115.0625	183.4125
