independent_unit_id	cohort_role	method	epsilon0	tau0	contrast_type	regularization_regime	u	v	alpha	beta	metric	reference_value	comparison_value	contrast
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	endpoint_response_q90	0.13168480268797012	0.13168480268797012	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	h001_response_mean	0.13385085066551586	0.13385085066551586	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	h001_response_median	0.13342011982483098	0.13342011982483098	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	0.75	0.25	0.75	h001_response_q90	0.1587530743613862	0.1587530743613862	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	endpoint_response_mean	0.1952087351915585	0.1952087351915585	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	endpoint_response_median	0.19600044865995858	0.19600044865995858	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	endpoint_response_q90	0.2242354588382336	0.2242354588382336	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	h001_response_mean	0.2671818276479907	0.2671818276479907	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	h001_response_median	0.2663556725224163	0.2663556725224163	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.0	1.0	0.0	1.0	h001_response_q90	0.31688181368239593	0.31688181368239593	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	endpoint_response_mean	0.02037386007073505	0.10305406655320845	0.0826802064824734
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	endpoint_response_median	0.01836059208460909	0.10183520428762691	0.08347461220301783
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	endpoint_response_q90	0.026987537050000652	0.12415979358323515	0.09717225653323448
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	h001_response_mean	0.019540742521294098	0.13370463798257654	0.11416389546128244
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	h001_response_median	0.017954839229688897	0.13323367119660356	0.11527883196691466
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.3333333333333333	1.0	0.5	h001_response_q90	0.026304863427780246	0.15858352447613644	0.1322786610483562
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	endpoint_response_mean	0.1976595680501882	0.07924771089312864	-0.11841185715705954
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	endpoint_response_median	0.19904121025964194	0.07940422404436666	-0.11963698621527527
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	endpoint_response_q90	0.22571773558213004	0.09294202952707653	-0.1327757060550535
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	h001_response_mean	0.27099270081987226	0.13318621601807945	-0.1378064848017928
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	h001_response_median	0.2705190257922335	0.1327575389682464	-0.13776148682398712
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		coregularized_minus_fixed	coregularized-fixed	1.5	0.6666666666666666	0.5	1.0	h001_response_q90	0.31911567586734413	0.1579648039219786	-0.16115087194536556
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	endpoint_response_mean	0.4474215226983263	0.4474215226983263	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	endpoint_response_median	0.4524378554563332	0.4524378554563332	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	endpoint_response_q90	0.5772515034327896	0.5772515034327896	0.0
HER2ST::A	manual_truth_controlled	balanced_ot	0.25		fixed_v_scale	coregularized	0.5	0.0	0.5	0.0	h001_response_mean	0.26927603281595325	0.13505104621000785	-0.1342249866059454
