dataset,pair_type,biological_pair_id,direction,pair_id,independent_unit_id,method,epsilon,tau,grid_role,parameter_index,pair_file_id,intervention,max_absolute_plan_difference,mean_absolute_plan_difference,normalized_l1_plan_difference,equivalence_tolerance,equivalence_pass,row_response_spearman,row_response_nmae,transported_mass_difference,objective_n,objective_s,objective_ratio_s_over_n,gate_n,gate_s_reference,gate_conclusion_consistent,claim_status,cohort
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.883544164294511,-1.9417720821472555,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,forward,SDLPFC_Br6432_ANT_MID,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.400058774749803,-1.7000293873749015,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,balanced_ot,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-2.8498070670099693,-1.4249035335049849,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-4.927674334650182,-2.463837167325091,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,uot,0.25,2.0,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.8835441642945217,-1.9417720821472608,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6432_ANT_MID,reverse,SDLPFC_Br6432_ANT_MID__reverse,spatialDLPFC::Br6432,row_softmax,0.25,,baseline,1,SDLPFC_Br6432_ANT_MID__reverse,I_SPATIAL,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,,,,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
spatialDLPFC,within_donor_adjacent_position,SDLPFC_Br6471_ANT_MID,forward,SDLPFC_Br6471_ANT_MID,spatialDLPFC::Br6471,balanced_ot,0.25,,baseline,1,SDLPFC_Br6471_ANT_MID,I_EXPR,0.0,0.0,0.0,1e-07,True,1.0,0.0,0.0,-3.4121520983945763,-1.7060760491972882,0.5,False,False,True,post-review sensitivity analysis; amended sample expansion,expanded_v2
