independent_unit_id	pair_id	direction	method	fold	repeat	strategy	coverage	n_train_available	n_train_selected	n_test	training_positive_precision	macro_f1	balanced_accuracy	accuracy
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	2	random_gate	0.8	173	139	100	0.7913669064748201	0.38687782805429866	0.7173913043478262	0.69
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	0	2	oracle_truth	0.8	173	139	100	1.0	0.34447605500237083	0.6277173913043479	0.63
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	0	max_probability_gate	0.8	194	156	79	0.8333333333333334	0.3503618561089825	0.4349206349206349	0.4936708860759494
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	0	top2_margin_gate	0.8	194	156	79	0.9102564102564102	0.35311355311355314	0.4263038548752835	0.5063291139240507
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	0	random_gate	0.8	194	156	79	0.8269230769230769	0.3229453748851671	0.3904761904761904	0.46835443037974683
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	0	oracle_truth	0.8	194	156	79	1.0	0.3333333333333333	0.38866213151927437	0.4936708860759494
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	1	max_probability_gate	0.8	194	156	79	0.8333333333333334	0.4116161616161616	0.4430839002267574	0.5949367088607594
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	1	top2_margin_gate	0.8	194	156	79	0.9102564102564102	0.40344622697563876	0.42947845804988666	0.569620253164557
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	1	random_gate	0.8	194	156	79	0.8012820512820513	0.38882398753894076	0.4208616780045351	0.5822784810126582
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	1	oracle_truth	0.8	194	156	79	1.0	0.4200984200984201	0.47392290249433106	0.5949367088607594
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	2	max_probability_gate	0.8	194	156	79	0.8333333333333334	0.4190857524190858	0.4344671201814059	0.6075949367088608
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	2	top2_margin_gate	0.8	194	156	79	0.9102564102564102	0.4832251082251083	0.47029478458049884	0.6455696202531646
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	2	random_gate	0.8	194	156	79	0.8012820512820513	0.42772772772772766	0.4344671201814059	0.6075949367088608
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	1	2	oracle_truth	0.8	194	156	79	1.0	0.43247863247863244	0.43628117913832193	0.5822784810126582
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	0	max_probability_gate	0.8	179	144	94	0.7291666666666666	0.29365079365079366	0.7872340425531915	0.7872340425531915
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	0	top2_margin_gate	0.8	179	144	94	0.8055555555555556	0.3001949317738791	0.8191489361702128	0.8191489361702128
HER2ST::A	HER2ST_A1_CONTROLLED	forward	row_softmax	2	0	random_gate	0.8	179	144	94	0.6944444444444444	0.3001949317738791	0.8191489361702128	0.8191489361702128
