dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	branch	score	reference	amplitude_comparable	n_estimable	spearman	top_overlap	raw_mae	rmae	intercept	slope	r2
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	barycentric_displacement	endpoint_response	False	1500	0.15303832223925434	0.14666666666666667	0.047842078233775266	1.3753362986170945	0.0318978790595583	0.03769122951054755	0.03000327295881111
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	transported_mass_deficit	local_reference	False	1500	0.03919175912393487	0.07415929203539823	0.03486163397442485	1.0000000000000027	0.03486163397442475	-3.2124476633002543e-18	2.220446049250313e-16
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	transported_mass_deficit	endpoint_response	False	1500	0.03989659043724861	0.07415929203539823	0.034785730793174555	1.0000000000000024	0.03478573079317445	-3.2054532981645448e-18	0.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	source_boundary_proximity	local_reference	False	1500	0.1384965213562605	0.14666666666666667	0.4729072388056833	13.565263152972639	0.03713077289565873	0.005180143108862104	0.0238789773437853
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID	forward	balanced_ot	0.25		main21	source_boundary_proximity	endpoint_response	False	1500	0.12574902362329596	0.14	0.47283133562443297	13.592680816043405	0.03689041151920031	0.004804706867990647	0.020724994644062522
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	finite_response_h001	local_reference	True	1500	0.999999790222129	1.0	4.129580672720331e-05	0.0006496353637216689	3.310248549713683e-05	0.9988303804231032	0.9999999673635627
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	finite_response_h001	endpoint_response	True	1500	0.999840970595987	0.9933333333333333	0.00426195825095465	0.06279505223432487	-0.0035269073831315882	1.122449177999682	0.9996873696577934
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	local_reference	local_reference	True	1500	1.0	1.0	0.0	0.0	-3.111987343937991e-17	1.0000000000000009	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	local_reference	endpoint_response	True	1500	0.9998378630390504	0.9933333333333333	0.0043032540576818535	0.06340349844327411	-0.0035638819368682072	1.1237600172586215	0.9996811100665195
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	endpoint_response	local_reference	True	1500	0.9998378630390504	0.9933333333333333	0.0043032540576818535	0.06769563877068788	0.003190650349193851	0.8895859389135518	0.9996811100665195
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	endpoint_response	endpoint_response	True	1500	1.0	1.0	0.0	0.0	1.6507373504658638e-17	0.9999999999999994	1.0
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	conditional_entropy	local_reference	False	1500	-0.0833677490523329	0.06	0.8500027207903954	13.371619795026895	0.0770329183643152	-0.014739146564261374	0.0026825507088918954
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	conditional_entropy	endpoint_response	False	1500	-0.08151067444918865	0.06	0.8456994667327137	12.46040882172558	0.08264033206196159	-0.016166688056892514	0.002554816521553649
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	low_max_probability	local_reference	False	1500	-0.17061173804966137	0.006666666666666667	0.9329550392805225	14.676564869713875	1.1229826694921925	-1.0631117471330611	0.024234710438921336
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	low_max_probability	endpoint_response	False	1500	-0.16923584410481962	0.006666666666666667	0.9286517852228408	13.682615813401085	1.2513099206945186	-1.1875685165885213	0.02393931314890818
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	probability_margin_risk	local_reference	False	1500	-0.1851960183093415	0.08	0.936304074309101	14.729249434112372	10.722426177574272	-10.660225736702253	0.03518900412360271
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	probability_margin_risk	endpoint_response	False	1500	-0.18454703313201473	0.08	0.9320008202514191	13.731959992102754	12.01594149055965	-11.949603165015878	0.03500221058233233
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	assigned_raw_cost	local_reference	False	1500	0.6480260835671483	0.36666666666666664	0.4356459149937091	6.853262228544042	0.03383907469283252	0.059550854871580225	0.3841800943836017
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	assigned_raw_cost	endpoint_response	False	1500	0.6447792376796612	0.36666666666666664	0.4313426609360272	6.355337929061925	0.03459795959248676	0.06665076012502008	0.38096353274708805
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	barycentric_displacement	local_reference	False	1500	0.0555207464536651	0.03333333333333333	0.0381379718748275	0.5999586203552594	0.06372815245675234	-0.00210825252883146	8.318794584372124e-05
spatialDLPFC	within_donor_adjacent_position	SDLPFC_Br2720_ANT_MID	spatialDLPFC::Br2720	primary_expansion	SDLPFC_Br2720_ANT_MID__reverse	reverse	uot	0.25	2.0	main21	barycentric_displacement	endpoint_response	False	1500	0.0521836854149713	0.02666666666666667	0.03804107353716442	0.5604914593616585	0.06810344772913333	-0.003054658271000095	0.00013824668890016767
