dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999292494071685	1.0	0.0040470034703784415	0.005849906469618509	0.9999923941537693	0.010858711954497644	0.014423229268053188
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999972281244924	1.0	0.00020264565636607086	0.0004395518783005497	0.9999996400343536	0.0003598862949423989	0.0008912218008184359
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999302429852357	1.0	0.004042241008868242	0.005842172964793553	0.9999927264070146	0.010934650381222624	0.014356269409954981
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999453393488191	0.9829902801600915	0.0038395652338458373	0.005791739248894355	0.9999919623329834	0.010179921750825216	0.012439374603685275
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999341848473581	1.0	0.0038744393592431885	0.0058515482512360145	0.9999918494960708	0.010428800357759229	0.01282514177790494
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999947967421272	1.0	7.403036632272883e-05	0.0006487445441443439	0.999999525206581	0.0001574438869393431	0.0003654602599824681
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999504338452412	1.0	0.003896231890839661	0.005807397685557794	0.9999926379378901	0.010459264149276835	0.012821239910507758
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999343422115367	1.0	0.0033483754747431088	0.004920732269506723	0.9999934655822116	0.008785496392170616	0.012114428083762825
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999303483745288	0.9829902801600915	0.003381075122654273	0.0049734299959440405	0.9999933775352723	0.009093516122261877	0.012643962178389518
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999973454904028	1.0	0.0005177056008144633	0.0005828823702268271	0.9999998813988791	0.001382096261413251	0.0015481851785629803
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_F1_CONTROLLED	HER2ST::F	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999263895552255	1.0	0.004244853452251308	0.006113088809600825	0.9999911516219651	0.011389991782743534	0.015064371988563773
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9997829035178327	1.0	0.004126926478711809	0.006134857948230886	0.999992044374556	0.011446816461178603	0.013972987560479544
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9997457242836014	1.0	0.004169843558492576	0.006202304785286661	0.999991932342188	0.011718804553154069	0.014486958796223047
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999943837893479	1.0	0.0003192329791082908	0.0005677738342909154	0.9999996960252215	0.0005631598465508083	0.0015327874447023638
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9997367999587825	1.0	0.004209933069258628	0.006220508614858335	0.9999924361575505	0.011848528917627232	0.01469531381526548
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999591935061509	1.0	0.003916895759311227	0.005861556202975837	0.999991941080155	0.010275726739576305	0.012968871164501142
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.99995757870154	1.0	0.003951154721624262	0.0059209981195129675	0.9999918386406617	0.01055407112080621	0.013181301311816922
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999914683254889	1.0	0.00017387179863167325	0.0007982204355528946	0.9999994609340268	0.0004104963299343154	0.0008209290126987061
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999685864056017	1.0	0.003976731370890978	0.005903088395433088	0.9999927481132553	0.01065928621208656	0.012887092632243372
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9998291262187976	1.0	0.003484907778464734	0.005106583572787939	0.9999933948032254	0.00949276840862549	0.011973723113243937
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9998116207920548	1.0	0.0035220509298450526	0.005165852457819944	0.9999932976158875	0.009834937441369727	0.012425290702432146
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999970695358757	1.0	0.00045648590882118017	0.0005921901096960923	0.9999998605600298	0.0012843228493773194	0.001489147689712898
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_G2_CONTROLLED	HER2ST::G	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9998088171133459	0.9878048780487805	0.004414877660794462	0.0063857595354423185	0.9999911629429541	0.01232455714889778	0.015004598253554487
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.9999344879903054	1.0	0.004026288527036117	0.005924489314095453	0.999992375906792	0.010915604606914299	0.01331351013937423
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.9999384866872779	0.9883720930232558	0.004062012472042738	0.005985618741433604	0.9999922598618616	0.011165765388398193	0.013644916229051758
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.9999958287515083	1.0	0.00034406467554958686	0.0006490188765610626	0.9999995847811505	0.0006688980903315749	0.0015520050738750328
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	balanced_ot	0.25		R	I_SPATIAL	0.9999342996938195	1.0	0.004085880230090922	0.005998889465259867	0.9999927708454254	0.011218344132075031	0.013789892103578134
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	row_softmax	0.25		N	I_EXPR	0.9999742376304442	1.0	0.0038722106351506288	0.0057758710755279625	0.9999919715689312	0.010295332632913615	0.012323335827017265
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	row_softmax	0.25		N	I_SPATIAL	0.9999728698889155	1.0	0.003906632963048931	0.005833402225306707	0.999991868849192	0.010469415936587397	0.012695544625740721
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999931146703072	1.0	0.00012856954751511529	0.0007406715067322493	0.9999993535422774	0.000295591963429058	0.0006370107804868479
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999636413737515	1.0	0.003965017567440628	0.005875271949105519	0.9999925896740134	0.0108189146761746	0.012921998728348816
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999432505069118	0.9883720930232558	0.0033649846945381446	0.004887760206854422	0.9999931196002193	0.009108953756164334	0.011484449745046314
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999431157453303	1.0	0.003395291783190788	0.0049395456271646675	0.9999930280482907	0.009408008685492145	0.011891684931314558
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999977311283509	1.0	0.00043615552295190083	0.0005833710506181907	0.9999996638132711	0.0012242081352304263	0.0014391287768320234
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_H1_CONTROLLED	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999392329099264	1.0	0.0042823639069255424	0.0061698364197156005	0.9999908459800617	0.011784602573032663	0.014444204608326192
