threshold_set	independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h001_spearman	h001_top_overlap	h001_rmae	vector_relative_l1_median	direction_cosine_median	neighborhood_error_median	neighborhood_error_q90	biological_pairs	gate_pass	sensitivity_gate_pass
prespecified	HER2ST::H	manual_truth_controlled	row_softmax	0.25		R	I_EXPR	0.9999931146703072	1.0	0.0001285695475151	0.0007406715067322	0.9999993535422774	0.000295591963429	0.0006370107804868	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	row_softmax	0.25		R	I_SPATIAL	0.9999636413737516	1.0	0.0039650175674406	0.0058752719491055	0.9999925896740134	0.0108189146761746	0.0129219987283488	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	N	I_EXPR	0.9999432505069118	0.9883720930232558	0.0033649846945381	0.0048877602068544	0.9999931196002192	0.0091089537561643	0.0114844497450463	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	N	I_SPATIAL	0.9999431157453303	1.0	0.0033952917831907	0.0049395456271646	0.9999930280482908	0.0094080086854921	0.0118916849313145	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	R	I_EXPR	0.9999977311283508	1.0	0.0004361555229519	0.0005833710506181	0.9999996638132712	0.0012242081352304	0.001439128776832	1	True	True
prespecified	HER2ST::H	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.9999392329099264	1.0	0.0042823639069255	0.0061698364197156	0.9999908459800616	0.0117846025730326	0.0144442046083261	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	balanced_ot	0.25		N	I_EXPR	0.9998166292518352	0.99	0.004211419897804	0.0062393129741978	0.9999897987516772	0.0110254133257432	0.0159458417107362	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	balanced_ot	0.25		N	I_SPATIAL	0.9998108568048254	0.9733333333333334	0.0042548315990213	0.0063026651540603	0.9999896727375068	0.0113196614629943	0.0164375187787944	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	balanced_ot	0.25		R	I_EXPR	0.9999986719994098	1.0	0.0003206042004797	0.0008910147515449	0.9999995331499096	0.0005893452599344	0.0015970980678118	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	balanced_ot	0.25		R	I_SPATIAL	0.9997579714479874	0.9833333333333334	0.0045045811457173	0.0062922010518735	0.9999923179739044	0.0120119792312529	0.0169110641060926	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	row_softmax	0.25		N	I_EXPR	0.9999459928648856	0.9933333333333332	0.0038520236193144	0.0060827805286453	0.9999890010234032	0.0099554580080703	0.0134843934840832	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	row_softmax	0.25		N	I_SPATIAL	0.9999424408633072	0.99	0.0038880593739043	0.0061404246363462	0.9999888640319808	0.0102165811430723	0.0137848951467638	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	row_softmax	0.25		R	I_EXPR	0.9999975324433478	0.99	0.0004265506260005	0.001222962211193	0.99999920776998	0.0007907579754393	0.0020220726597543	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	row_softmax	0.25		R	I_SPATIAL	0.9999637759839006	0.99	0.0042356654457366	0.0060093195943109	0.9999927215467208	0.0111888869485834	0.0141734350878031	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	uot	0.25	2.0	N	I_EXPR	0.9998511626005168	0.9866666666666668	0.0035763586178922	0.0053854089708425	0.9999921798305014	0.009369681471966	0.0136840988248245	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	uot	0.25	2.0	N	I_SPATIAL	0.99984379726391	0.9833333333333334	0.0036146505952434	0.005439970110743	0.9999920682559666	0.0096652924228765	0.0141739308236319	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	uot	0.25	2.0	R	I_EXPR	0.9999988337772596	1.0	0.000534559130094	0.0009961562693303	0.999999607926202	0.0014777796794856	0.0019822250514037	1	True	True
prespecified	STAR_8M_D1_D2	legacy_replication	uot	0.25	2.0	R	I_SPATIAL	0.9997708301203688	0.9866666666666668	0.0047057446820513	0.0064990830779112	0.9999918240963098	0.0125148912864841	0.0172522438399715	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	balanced_ot	0.25		N	I_EXPR	0.9999036710682984	0.9866666666666666	0.0041425215589083	0.0061151040816082	0.9999910765485842	0.0108770242705671	0.0144453293590534	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	balanced_ot	0.25		N	I_SPATIAL	0.9999022061787584	0.99	0.0041859869649483	0.0061857201627924	0.999990951871322	0.011238344684197	0.0149109108008691	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	balanced_ot	0.25		R	I_EXPR	0.9999989031106236	1.0	0.0002132578467665	0.0008609540639821	0.9999995816145574	0.0004531963082449	0.0010577411038709	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	balanced_ot	0.25		R	I_SPATIAL	0.9998730097213376	0.99	0.0042576646336181	0.0062200142383215	0.9999925815866764	0.0116786448725793	0.0147537065307463	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	row_softmax	0.25		N	I_EXPR	0.9999449261977452	0.99	0.0036229469491996	0.0064147732881983	0.999986497320698	0.0092872370207213	0.0125497818623549	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	row_softmax	0.25		N	I_SPATIAL	0.9999448586421597	0.9933333333333332	0.0036621248042373	0.0064817781198831	0.9999863776986436	0.0096399431734965	0.013034320226787	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	row_softmax	0.25		R	I_EXPR	0.9999954435535304	0.9966666666666666	0.0007430432284947	0.0019581362710206	0.9999980802379906	0.0018397224494052	0.0030334994317878	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	row_softmax	0.25		R	I_SPATIAL	0.9999679928746636	0.99	0.0041412259698862	0.0060374306269185	0.9999928697917486	0.0111739559015821	0.0134382454691903	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	N	I_EXPR	0.9999093155152514	0.99	0.0034623344448349	0.0052522080552562	0.9999931789840124	0.0091042362998339	0.0125223390563081	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	N	I_SPATIAL	0.9999067235140996	0.99	0.0035005750175821	0.0053103857754359	0.999993080281432	0.0095031129084844	0.0130084085654761	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	R	I_EXPR	0.9999987573327812	1.0	0.0007362463047657	0.0010200057009087	0.9999995937654952	0.0017024035462634	0.0028360666027317	1	True	True
prespecified	ST_E15_5_S1_S2	legacy_replication	uot	0.25	2.0	R	I_SPATIAL	0.99988556972692	0.99	0.0044679955167057	0.0064167903937502	0.9999920303751378	0.0122090770946432	0.0152392581262189	1	True	True
prespecified	Stereo-seq::shared_developmental_series	legacy_replication	balanced_ot	0.25		N	I_EXPR	0.999979955546647	0.9933333333333332	0.0037504757323515	0.0057314095352443	0.9999912107307364	0.0099657114999722	0.0127154760533612	5	True	True
prespecified	Stereo-seq::shared_developmental_series	legacy_replication	balanced_ot	0.25		N	I_SPATIAL	0.9999808675470524	0.9966666666666666	0.0037833043201974	0.0057938228789108	0.9999910797331292	0.0101872637766961	0.0129972715236028	5	True	True
