independent_unit_id	cohort_role	method	epsilon	tau	arm	intervention	h	h_spearman	h_top_overlap	h_rmae	scalar_gate_pass
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.01	0.9998259921371181	0.9772727272727273	0.004294381096654766	True
HER2ST::B	manual_truth_controlled	uot	0.25	2.0	R	I_SPATIAL	0.02	0.9994393541166089	0.9772727272727273	0.008632428236971346	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.000625	0.9999796355980126	1.0	0.00025684998285077187	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.00125	0.9999694947998732	1.0	0.0005136906757302532	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.0025	0.9999328793166067	1.0	0.0010269312935407453	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.005	0.9998367901514056	1.0	0.0020514165706094563	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.01	0.9997138122725364	1.0	0.004092958758423368	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_EXPR	0.02	0.9991829570885287	1.0	0.00814853114026752	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.000625	0.9999884880949578	1.0	0.0002571811772853565	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.00125	0.999976893384207	1.0	0.0005143695108804039	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.0025	0.9999516241945665	1.0	0.0010290191774535331	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.005	0.99989327320241	1.0	0.0020600220022502455	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.01	0.9997243305090795	1.0	0.004128874433886763	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		N	I_SPATIAL	0.02	0.999242311374617	1.0	0.008293479090051827	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.000625	1.0	1.0	8.729341873875898e-05	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.00125	0.9999987116988055	1.0	0.00017458683747752983	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.0025	0.9999987116988055	1.0	0.00034915817979231636	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.005	0.9999911475030551	1.0	0.0006982714768337041	True
HER2ST::C	manual_truth_controlled	balanced_ot	0.25		R	I_EXPR	0.01	0.9999835833073045	1.0	0.0013964128370763532	True
