dataset	pair_type	biological_pair_id	independent_unit_id	cohort_role	pair_id	direction	method	epsilon	tau	n_truth	top1	top5	top10	median_true_probability	median_reciprocal_rank	median_normalized_barycentric_error	metric	score	n_estimable	spearman	aurc	oracle_aurc	random_aurc	normalized_excess_aurc	retained_loss_at_80pct_coverage	retained_loss_at_90pct_coverage	auroc	auprc	prevalence	precision_at_prevalence	recall_at_prevalence
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	low_max_probability	273.0	-0.47244785056077454	0.10447503994526032	0.08144131013945814	0.09699215236920249	1.4811885726514025	0.1033040947902842	0.09912000471069479					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	probability_margin_risk	273.0	0.5443896693383017	0.11218151460156445	0.05678737683978874	0.22710622710622713	0.32523785638007685	0.1141552511415525	0.17886178861788618	0.8750955511389695	0.6077963138282576	0.2271062271062271	0.6774193548387096	0.6774193548387096
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	probability_margin_risk	273.0	0.12109675425476198	0.09320290965844585	0.08144131013945814	0.09699215236920249	0.7563319944492211	0.09335573213931629	0.09497625565777998					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	assigned_raw_cost	273.0	0.26803453049140763	0.18326524069201444	0.05678737683978874	0.22710622710622713	0.7425946315065536	0.182648401826484	0.1951219512195122	0.6846812414003974	0.36215051582059143	0.2271062271062271	0.3870967741935484	0.3870967741935484
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	assigned_raw_cost	273.0	0.433358773043187	0.09009253185786895	0.08144131013945814	0.09699215236920249	0.55631853185826	0.09125287334704708	0.09385061956487184					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	barycentric_displacement	273.0	0.01420050492669709	0.23526524457779943	0.05678737683978874	0.22710622710622713	1.0479043714703846	0.2420091324200913	0.23983739837398374	0.5097844366304847	0.22517545789628418	0.2271062271062271	0.1935483870967742	0.1935483870967742
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	barycentric_displacement	273.0	0.5584985538291678	0.08870353244712516	0.08144131013945814	0.09699215236920249	0.4669986487147588	0.09047821965003743	0.09298881148217267					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	transported_mass_deficit	273.0	0.07626073656532624	0.22048500889870082	0.05678737683978874	0.22710622710622713	0.9611245719591907	0.22334723049434185	0.21792152704135737	0.5509478672985781	0.28422787809860894	0.2271062271062271	0.22580645161290322	0.22580645161290322
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	transported_mass_deficit	273.0	-0.012773652906482653	0.09780217078972439	0.08144131013945814	0.09699215236920249	1.052088395506487	0.09797699492473935	0.09726220060230757					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									top1_error_detection	source_boundary_proximity	273.0	0.26931690937900715	0.17105146139569538	0.05678737683978874	0.22710622710622713	0.6708833718473178	0.1689497716894977	0.2073170731707317	0.6855603118789175	0.3655647671673934	0.2271062271062271	0.41935483870967744	0.41935483870967744
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED	forward	row_softmax	0.25									barycentric_error_ranking	source_boundary_proximity	273.0	0.7646516463841677	0.08460716763685205	0.08144131013945814	0.09699215236920249	0.20358109552024942	0.0865277492048701	0.09156000135532621					
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0.25		273.0	0.6190476190476191	0.7509157509157509	0.8388278388278388	0.012452919465874299	1.0	0.09166778408052172															
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0.25									top1_error_detection	finite_response_h001	273.0	-0.12480973441185608	0.41030957009791613	0.16952978718056425	0.38095238095238093	1.1388554961028419	0.4200913242009132	0.4065040650406504	0.4258079198907601	0.32419803041370654	0.38095238095238093	0.34615384615384615	0.34615384615384615
HER2ST_manual_controlled	within_section_controlled_combined	HER2ST_A1_CONTROLLED	HER2ST::A	manual_truth_controlled	HER2ST_A1_CONTROLLED__reverse	reverse	balanced_ot	0.25									barycentric_error_ranking	finite_response_h001	273.0	-0.2568645931140564	0.09392152916592345	0.07240121719053189	0.08916421540852253	1.2837985004553185	0.09156432549866597	0.09047051749946183					
